"","simulatedAnswer","item","normResponse0","normResponse1","simRank1","workerid","obj1","Answer.score_quiz3","guessRank1","utterance","blockNr","pref1","guessRank2","numFeatures","certainty","targetUttCode","simPreference2","order1","order2","targetFeature","response0","Answer.score_quiz1","response1","obj3","order0","pref0","trialNum","Answer.time_in_minutes","sex","response2","simPreference0","featuresPresent","evalNum","simPreference1","slide_number","obj2","name","simRank2","uttCode","targetFeatureNum","simRank0","guessRank0","trial_type","pref2","normResponse2","Answer.score_quiz2"
"13",112,20660,0.394736842105263,0.289473684210526,NA,1,131,0,NA,"red",0,"striped",NA,4,NA,"321-2",0.5,131,133,"texture",0.75,3,0.55,133,112,"solid",0,12.1046,"male",0.6,0,"['cloud', 'blue', 'red', 'green']",NA,1,3,112,"task",NA,"321",2,NA,NA,"task","polka-dotted",0.315789473684211,1
"14",323,19301,0.333333333333333,0.393939393939394,NA,1,131,0,NA,"green",0,"striped",NA,4,NA,"22b1-3",0.5,131,113,"texture",0.55,3,0.65,323,323,"solid",1,12.1046,"male",0.45,0,"['cloud', 'square', 'blue', 'green']",NA,1,4,113,"task",NA,"22b1",2,NA,NA,"task","polka-dotted",0.272727272727273,1
"15",222,6480,0.45,0.275,NA,1,212,0,NA,"circle",0,"striped",NA,2,NA,"331-3",0.5,212,222,"texture",0.9,3,0.55,232,232,"solid",2,12.1046,"male",0.55,0,"['circle', 'red']",NA,1,5,222,"task",NA,"331",2,NA,NA,"task","polka-dotted",0.275,1
"16",322,7820,0.371428571428571,0.257142857142857,NA,1,312,0,NA,"red",0,"striped",NA,2,NA,"331-3",0.5,332,312,"texture",0.65,3,0.45,332,322,"solid",3,12.1046,"male",0.65,0,"['square', 'red']",NA,1,6,322,"task",NA,"331",2,NA,NA,"task","polka-dotted",0.371428571428571,1
"17",NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,12.1046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"18",NA,NA,NA,NA,"polka-dotted",1,NA,0,"polka-dotted",NA,NA,NA,"striped",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,12.1046,NA,NA,NA,NA,0,NA,NA,NA,NA,"solid",NA,NA,"striped","solid",NA,NA,NA,1
"19",222,14200,0.4,0.2,NA,1,122,0,NA,"striped",1,"circle",NA,3,NA,"322b-2",0,123,122,"shape",0.7,3,0.35,123,222,"cloud",0,12.1046,"male",0.7,0.5,"['striped', 'red', 'green']",NA,1,11,222,"task",NA,"322b",1,NA,NA,"task","square",0.4,1
"20",221,4690,0.3,0.533333333333333,NA,1,221,0,NA,"striped",1,"circle",NA,4,NA,"22a1-3",0,321,221,"shape",0.45,3,0.8,132,132,"cloud",1,12.1046,"male",0.25,0.5,"['striped', 'polka-dotted', 'blue', 'red']",NA,1,12,321,"task",NA,"22a1",1,NA,NA,"task","square",0.166666666666667,1
"21",221,27240,0.40625,0.34375,NA,1,221,0,NA,"striped",1,"circle",NA,5,NA,"22b1-2",0,232,333,"shape",0.65,3,0.55,333,221,"cloud",2,12.1046,"male",0.4,0.5,"['striped', 'polka-dotted', 'blue', 'red', 'green']",NA,1,13,232,"task",NA,"22b1",1,NA,NA,"task","square",0.25,1
"22",212,5560,0.352941176470588,0.382352941176471,NA,1,212,0,NA,"red",1,"circle",NA,4,NA,"311-3",0,322,132,"shape",0.6,3,0.65,132,212,"cloud",3,12.1046,"male",0.45,0.5,"['solid', 'striped', 'polka-dotted', 'red']",NA,1,14,322,"task",NA,"311",1,NA,NA,"task","square",0.264705882352941,1
"23",NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,12.1046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"24",NA,NA,NA,NA,"cloud",1,NA,0,"cloud",NA,NA,NA,"square",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,12.1046,NA,NA,NA,NA,3,NA,NA,NA,NA,"square",NA,NA,"circle","circle",NA,NA,NA,1
"25",222,14131,0.24,0.72,NA,2,321,1,NA,"circle",0,"red",NA,4,NA,"311-3",0.5,222,123,"color",0.3,3,0.9,123,321,"blue",0,28.6176166666667,"female",0.05,1,"['cloud', 'circle', 'square', 'striped']",NA,0,3,222,"task",NA,"311",3,NA,NA,"task","green",0.04,3
"26",221,3262,0.296296296296296,0.703703703703704,NA,2,221,1,NA,"circle",0,"red",NA,4,NA,"22a2b-2b",0.5,112,222,"color",0.4,3,0.95,222,221,"blue",1,28.6176166666667,"female",0,1,"['cloud', 'circle', 'solid', 'striped']",NA,0,4,112,"task",NA,"22a2b",3,NA,NA,"task","green",0,3
"27",122,10422,0.266666666666667,0.666666666666667,NA,2,231,1,NA,"cloud",0,"red",NA,5,NA,"211-3",0.5,213,231,"color",0.4,3,1,213,122,"blue",2,28.6176166666667,"female",0.1,1,"['cloud', 'circle', 'solid', 'striped', 'polka-dotted']",NA,0,5,122,"task",NA,"211",3,NA,NA,"task","green",0.0666666666666667,3
"28",111,18372,0.909090909090909,0.0909090909090909,NA,2,111,1,NA,"cloud",0,"red",NA,4,NA,"22b1-3",0.5,323,122,"color",1,3,0.1,323,111,"blue",3,28.6176166666667,"female",0,1,"['cloud', 'square', 'solid', 'striped']",NA,0,6,122,"task",NA,"22b1",3,NA,NA,"task","green",0,3
"29",NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,28.6176166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"30",NA,NA,NA,NA,"green",2,NA,1,"red",NA,NA,NA,"green",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,28.6176166666667,NA,NA,NA,NA,2,NA,NA,NA,NA,"red",NA,NA,"blue","blue",NA,NA,NA,3
"31",331,26991,0.625,0.375,NA,2,331,1,NA,"polka-dotted",1,"red",NA,3,NA,"321-3",0,333,322,"color",1,3,0.6,333,331,"blue",0,28.6176166666667,"female",0,0.5,"['square', 'striped', 'polka-dotted']",NA,1,11,322,"task",NA,"321",3,NA,NA,"task","green",0,3
"32",331,25841,0.625,0.3125,NA,2,331,1,NA,"square",1,"red",NA,4,NA,"321-2",0,133,233,"color",1,3,0.5,233,331,"blue",1,28.6176166666667,"female",0.1,0.5,"['cloud', 'circle', 'square', 'polka-dotted']",NA,1,12,133,"task",NA,"321",3,NA,NA,"task","green",0.0625,3
"33",212,6121,0.411764705882353,0.588235294117647,NA,2,231,1,NA,"circle",1,"red",NA,3,NA,"322b-2",0,212,232,"color",0.7,3,1,232,231,"blue",2,28.6176166666667,"female",0,0.5,"['circle', 'solid', 'polka-dotted']",NA,1,13,212,"task",NA,"322b",3,NA,NA,"task","green",0,3
"34",112,8520,0.411764705882353,0.588235294117647,NA,2,111,1,NA,"cloud",1,"red",NA,2,NA,"331-3",0,112,113,"color",0.7,3,1,113,111,"blue",3,28.6176166666667,"female",0,0.5,"['cloud', 'solid']",NA,1,14,112,"task",NA,"331",3,NA,NA,"task","green",0,3
"35",NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,28.6176166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"36",NA,NA,NA,NA,"blue",2,NA,1,"blue",NA,NA,NA,"green",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,28.6176166666667,NA,NA,NA,NA,3,NA,NA,NA,NA,"green",NA,NA,"red","red",NA,NA,NA,3
"49",123,25252,0.54054054054054,0.27027027027027,NA,4,132,3,NA,"striped",0,"red",NA,4,NA,"22b2b-2",0,123,233,"color",1,0,0.5,233,132,"blue",0,30.8153833333333,"male",0.35,0.5,"['cloud', 'circle', 'striped', 'polka-dotted']",NA,1,3,123,"task",NA,"22b2b",3,NA,NA,"task","green",0.189189189189189,0
"50",323,18102,0.516129032258065,0.193548387096774,NA,4,121,3,NA,"square",0,"red",NA,4,NA,"22b1-3",0,112,121,"color",0.8,0,0.3,323,323,"blue",1,30.8153833333333,"male",0.45,0.5,"['cloud', 'square', 'solid', 'striped']",NA,1,4,112,"task",NA,"22b1",3,NA,NA,"task","green",0.290322580645161,0
"51",132,5492,0.206896551724138,0.344827586206897,NA,4,121,3,NA,"cloud",0,"red",NA,4,NA,"22b2b-2",0,121,322,"color",0.3,0,0.5,132,132,"blue",2,30.8153833333333,"male",0.65,0.5,"['cloud', 'square', 'striped', 'polka-dotted']",NA,1,5,322,"task",NA,"22b2b",3,NA,NA,"task","green",0.448275862068965,0
"52",222,7612,0.236842105263158,0.5,NA,4,121,3,NA,"striped",0,"red",NA,5,NA,"22b1-2",0,121,222,"color",0.45,0,0.95,332,332,"blue",3,30.8153833333333,"male",0.5,0.5,"['cloud', 'circle', 'square', 'striped', 'polka-dotted']",NA,1,6,222,"task",NA,"22b1",3,NA,NA,"task","green",0.263157894736842,0
"53",NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,30.8153833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"54",NA,NA,NA,NA,"blue",4,NA,3,"green",NA,NA,NA,"blue",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,30.8153833333333,NA,NA,NA,NA,2,NA,NA,NA,NA,"green",NA,NA,"red","red",NA,NA,NA,0
"55",223,22712,0.2,0.266666666666667,NA,4,232,3,NA,"circle",1,"red",NA,4,NA,"22b2b-2",1,232,133,"color",0.3,0,0.4,133,223,"blue",0,30.8153833333333,"male",0.8,0.5,"['cloud', 'circle', 'striped', 'polka-dotted']",NA,0,11,223,"task",NA,"22b2b",3,NA,NA,"task","green",0.533333333333333,0
"56",132,5482,0.324324324324324,0.27027027027027,NA,4,311,3,NA,"polka-dotted",1,"red",NA,5,NA,"22b1-2",1,132,311,"color",0.6,0,0.5,132,322,"blue",1,30.8153833333333,"male",0.75,0.5,"['cloud', 'square', 'solid', 'striped', 'polka-dotted']",NA,0,12,322,"task",NA,"22b1",3,NA,NA,"task","green",0.405405405405405,0
"57",211,15772,0.358974358974359,0.333333333333333,NA,4,211,3,NA,"solid",1,"red",NA,4,NA,"22b1-3",1,223,211,"color",0.7,0,0.65,223,112,"blue",2,30.8153833333333,"male",0.6,0.5,"['cloud', 'circle', 'solid', 'striped']",NA,0,13,112,"task",NA,"22b1",3,NA,NA,"task","green",0.307692307692308,0
"58",322,4102,0.36,0.28,NA,4,211,3,NA,"square",1,"red",NA,4,NA,"22a2b-2b",1,211,322,"color",0.45,0,0.35,322,212,"blue",3,30.8153833333333,"male",0.45,0.5,"['circle', 'square', 'solid', 'striped']",NA,0,14,212,"task",NA,"22a2b",3,NA,NA,"task","green",0.36,0
"59",NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,30.8153833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"60",NA,NA,NA,NA,"blue",4,NA,3,"green",NA,NA,NA,"red",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,30.8153833333333,NA,NA,NA,NA,2,NA,NA,NA,NA,"red",NA,NA,"green","blue",NA,NA,NA,0
"61",112,13691,0.12,0.76,NA,5,121,3,NA,"cloud",0,"red",NA,3,NA,"321-3",0.5,112,121,"color",0.15,4,0.95,123,123,"blue",0,13.81865,"female",0.15,0,"['cloud', 'solid', 'striped']",NA,1,3,112,"task",NA,"321",3,NA,NA,"task","green",0.12,3
"62",313,11482,0,0,NA,5,311,3,NA,"square",0,"red",NA,4,NA,"22a2b-2b",0.5,221,311,"color",0,4,0,313,313,"blue",1,13.81865,"female",0.95,0,"['circle', 'square', 'solid', 'striped']",NA,1,4,221,"task",NA,"22a2b",3,NA,NA,"task","green",1,3
"63",132,5532,0,0.95,NA,5,231,3,NA,"polka-dotted",0,"red",NA,5,NA,"22b1-2",0.5,322,231,"color",0,4,0.95,132,132,"blue",2,13.81865,"female",0.05,0,"['cloud', 'circle', 'square', 'striped', 'polka-dotted']",NA,1,5,322,"task",NA,"22b1",3,NA,NA,"task","green",0.05,3
"64",112,8592,0.333333333333333,0.633333333333333,NA,5,231,3,NA,"cloud",0,"red",NA,4,NA,"22a1-3",0.5,113,231,"color",0.5,4,0.95,113,112,"blue",3,13.81865,"female",0.05,0,"['cloud', 'circle', 'solid', 'polka-dotted']",NA,1,6,112,"task",NA,"22a1",3,NA,NA,"task","green",0.0333333333333333,3
"65",NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,13.81865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"66",NA,NA,NA,NA,"green",5,NA,3,"blue",NA,NA,NA,"green",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,13.81865,NA,NA,NA,NA,2,NA,NA,NA,NA,"blue",NA,NA,"red","red",NA,NA,NA,3
"67",222,7601,0.310344827586207,0.655172413793103,NA,5,311,3,NA,"red",1,"striped",NA,4,NA,"22b1-3",0.5,222,311,"texture",0.45,4,0.95,332,332,"solid",0,13.81865,"female",0.05,0,"['circle', 'square', 'blue', 'red']",NA,1,11,222,"task",NA,"22b1",2,NA,NA,"task","polka-dotted",0.0344827586206897,3
"68",221,51,0.0333333333333333,0.633333333333333,NA,5,111,3,NA,"blue",1,"striped",NA,4,NA,"321-2",0.5,221,311,"texture",0.05,4,0.95,221,111,"solid",1,13.81865,"female",0.5,0,"['cloud', 'circle', 'square', 'blue']",NA,1,12,311,"task",NA,"321",2,NA,NA,"task","polka-dotted",0.333333333333333,3
"69",231,7021,0.0333333333333333,0.333333333333333,NA,5,211,3,NA,"circle",1,"striped",NA,4,NA,"22a2b-2b",0.5,332,231,"texture",0.05,4,0.5,332,211,"solid",2,13.81865,"female",0.95,0,"['circle', 'square', 'blue', 'red']",NA,1,13,231,"task",NA,"22a2b",2,NA,NA,"task","polka-dotted",0.633333333333333,3
"70",222,8951,0.0333333333333333,0.633333333333333,NA,5,211,3,NA,"circle",1,"striped",NA,5,NA,"22b1-2",0.5,113,211,"texture",0.05,4,0.95,113,222,"solid",3,13.81865,"female",0.5,0,"['cloud', 'circle', 'blue', 'red', 'green']",NA,1,14,222,"task",NA,"22b1",2,NA,NA,"task","polka-dotted",0.333333333333333,3
"71",NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,13.81865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"72",NA,NA,NA,NA,"polka-dotted",5,NA,3,"polka-dotted",NA,NA,NA,"solid",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,13.81865,NA,NA,NA,NA,3,NA,NA,NA,NA,"solid",NA,NA,"striped","striped",NA,NA,NA,3
"97",211,22561,1,0,NA,8,211,1,NA,"blue",0,"striped",NA,4,NA,"22b1-3",1,133,211,"texture",1,3,0,133,223,"solid",0,10.0709,"male",0,0,"['cloud', 'circle', 'blue', 'green']",NA,0.5,3,223,"task",NA,"22b1",2,NA,NA,"task","polka-dotted",0,2
"98",333,27561,0.393939393939394,0,NA,8,121,1,NA,"green",0,"striped",NA,4,NA,"22b1-3",1,113,333,"texture",0.65,3,0,333,121,"solid",1,10.0709,"male",1,0,"['cloud', 'square', 'blue', 'green']",NA,0.5,4,113,"task",NA,"22b1",2,NA,NA,"task","polka-dotted",0.606060606060606,2
"99",132,5300,0.393939393939394,0,NA,8,112,1,NA,"cloud",0,"striped",NA,2,NA,"331-3",1,112,122,"texture",0.65,3,0,132,132,"solid",2,10.0709,"male",1,0,"['cloud', 'red']",NA,0.5,5,122,"task",NA,"331",2,NA,NA,"task","polka-dotted",0.606060606060606,2
"100",332,7021,0.428571428571429,0,NA,8,211,1,NA,"red",0,"striped",NA,4,NA,"22a2b-2b",1,332,231,"texture",0.75,3,0,332,211,"solid",3,10.0709,"male",1,0,"['circle', 'square', 'blue', 'red']",NA,0.5,6,231,"task",NA,"22a2b",2,NA,NA,"task","polka-dotted",0.571428571428571,2
"101",NA,NA,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,10.0709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"102",NA,NA,NA,NA,"striped",8,NA,1,"solid",NA,NA,NA,"striped",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,10.0709,NA,NA,NA,NA,2,NA,NA,NA,NA,"solid",NA,NA,"polka-dotted","polka-dotted",NA,NA,NA,2
"103",231,11752,1,0,NA,8,231,1,NA,"circle",1,"red",NA,4,NA,"22a2b-2a",0.5,331,231,"color",1,3,0,313,313,"blue",0,10.0709,"male",0,1,"['circle', 'square', 'solid', 'polka-dotted']",NA,0,11,331,"task",NA,"22a2b",3,NA,NA,"task","green",0,2
"104",231,6121,1,0,NA,8,231,1,NA,"circle",1,"red",NA,3,NA,"322b-2",0.5,232,212,"color",1,3,0,232,231,"blue",1,10.0709,"male",0,1,"['circle', 'solid', 'polka-dotted']",NA,0,12,212,"task",NA,"322b",3,NA,NA,"task","green",0,2
"105",231,24270,1,0,NA,8,231,1,NA,"polka-dotted",1,"red",NA,2,NA,"331-3",0.5,233,231,"color",1,3,0,233,232,"blue",2,10.0709,"male",0,1,"['circle', 'polka-dotted']",NA,0,13,232,"task",NA,"331",3,NA,NA,"task","green",0,2
"106",211,15772,1,0,NA,8,211,1,NA,"circle",1,"red",NA,4,NA,"22b1-3",0.5,112,211,"color",1,3,0,223,223,"blue",3,10.0709,"male",0,1,"['cloud', 'circle', 'solid', 'striped']",NA,0,14,112,"task",NA,"22b1",3,NA,NA,"task","green",0,2
"107",NA,NA,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,10.0709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"108",NA,NA,NA,NA,"green",8,NA,1,"green",NA,NA,NA,"red",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,10.0709,NA,NA,NA,NA,3,NA,NA,NA,NA,"red",NA,NA,"blue","blue",NA,NA,NA,2
"109",223,16571,0,1,NA,9,122,2,NA,"circle",0,"striped",NA,4,NA,"22a2b-2b",0.5,122,223,"texture",0,2,0.75,223,132,"solid",0,8.19893333333333,"female",0,1,"['cloud', 'circle', 'red', 'green']",NA,0,3,132,"task",NA,"22a2b",2,NA,NA,"task","polka-dotted",0,1
"110",212,6611,0,0,NA,9,212,2,NA,"circle",0,"striped",NA,3,NA,"321-3",0.5,322,212,"texture",0,2,0,232,232,"solid",1,8.19893333333333,"female",1,1,"['circle', 'square', 'red']",NA,0,4,322,"task",NA,"321",2,NA,NA,"task","polka-dotted",1,1
"111",233,25421,0,0.5,NA,9,312,2,NA,"circle",0,"striped",NA,4,NA,"22a1-3",0.5,233,223,"texture",0,2,1,233,312,"solid",2,8.19893333333333,"female",1,1,"['circle', 'square', 'red', 'green']",NA,0,5,223,"task",NA,"22a1",2,NA,NA,"task","polka-dotted",0.5,1
"112",132,12571,NA,NA,NA,9,122,2,NA,"cloud",0,"striped",NA,4,NA,"22a1-3",0.5,122,132,"texture",0,2,0,313,313,"solid",3,8.19893333333333,"female",0,1,"['cloud', 'square', 'red', 'green']",NA,0,6,132,"task",NA,"22a1",2,NA,NA,"task","polka-dotted",NA,1
"113",NA,NA,NA,NA,NA,9,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,8.19893333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"114",NA,NA,NA,NA,"polka-dotted",9,NA,2,"striped,polka-dotted",NA,NA,NA,"solid",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,8.19893333333333,NA,NA,NA,NA,0,NA,NA,NA,NA,"striped",NA,NA,"solid","solid",NA,NA,NA,1
"115",131,24111,0.529411764705882,0,NA,9,131,2,NA,"cloud",1,"red",NA,3,NA,"321-3",0,233,131,"color",0.45,2,0,233,132,"blue",0,8.19893333333333,"female",0.4,1,"['cloud', 'circle', 'polka-dotted']",NA,0.5,11,132,"task",NA,"321",3,NA,NA,"task","green",0.470588235294118,1
"116",221,25351,0.8,0,NA,9,221,2,NA,"circle",1,"red",NA,3,NA,"322b-2",0,223,221,"color",0.2,2,0,233,233,"blue",1,8.19893333333333,"female",0.05,1,"['circle', 'striped', 'polka-dotted']",NA,0.5,12,223,"task",NA,"322b",3,NA,NA,"task","green",0.2,1
"117",221,23821,0.5,0,NA,9,221,2,NA,"circle",1,"red",NA,3,NA,"321-3",0,222,233,"color",1,2,0,233,221,"blue",2,8.19893333333333,"female",1,1,"['circle', 'striped', 'polka-dotted']",NA,0.5,13,222,"task",NA,"321",3,NA,NA,"task","green",0.5,1
"118",321,14131,0.111111111111111,0,NA,9,321,2,NA,"square",1,"red",NA,4,NA,"311-3",0,123,321,"color",0.05,2,0,123,222,"blue",3,8.19893333333333,"female",0.4,1,"['cloud', 'circle', 'square', 'striped']",NA,0.5,14,222,"task",NA,"311",3,NA,NA,"task","green",0.888888888888889,1
"119",NA,NA,NA,NA,NA,9,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,8.19893333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"120",NA,NA,NA,NA,"red",9,NA,2,"blue",NA,NA,NA,"red",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,8.19893333333333,NA,NA,NA,NA,1,NA,NA,NA,NA,"green",NA,NA,"blue","green",NA,NA,NA,1
"121",131,24420,0.952380952380952,0,NA,10,131,2,NA,"blue",0,"circle",NA,4,NA,"311-3",0.5,332,233,"shape",1,3,0,233,131,"cloud",0,12.9597833333333,"female",0.05,0,"['polka-dotted', 'blue', 'red', 'green']",NA,1,3,332,"task",NA,"311",1,NA,NA,"task","square",0.0476190476190476,3
"122",212,4110,0.5,0.5,NA,10,311,2,NA,"red",0,"circle",NA,4,NA,"22b2b-2",0.5,322,311,"shape",1,3,1,322,212,"cloud",1,12.9597833333333,"female",0,0,"['solid', 'striped', 'blue', 'red']",NA,1,4,212,"task",NA,"22b2b",1,NA,NA,"task","square",0,3
