simulatedAnswer,item,normResponse0,normResponse1,simRank1,workerid,obj1,Answer.score_quiz3,guessRank1,utterance,blockNr,pref1,guessRank2,numFeatures,certainty,targetUttCode,simPreference2,order1,order2,targetFeature,response0,Answer.score_quiz1,response1,obj3,order0,pref0,trialNum,Answer.time_in_minutes,sex,response2,simPreference0,featuresPresent,evalNum,simPreference1,slide_number,obj2,name,simRank2,uttCode,targetFeatureNum,simRank0,guessRank0,trial_type,pref2,normResponse2,Answer.score_quiz2
,,,,,0,,4,,,,,,,0.75,,,,,,,3,,,,,,7.6622,,,,,,,,,,,,,,,,,,3
,,,,striped,0,,4,striped,,,,solid,,,,,,,,,3,,,,,,7.6622,,,,,0,,,,,polka-dotted,,,solid,polka-dotted,,,,3
112,20660,0.39473684210526316,0.2894736842105263,,1,131,0,,red,0,striped,,4,,321-2,0.5,131,133,texture,0.75,3,0.55,133,112,solid,0,12.1046,male,0.6,0,"['cloud', 'blue', 'red', 'green']",,1,3,112,task,,321,2,,,task,polka-dotted,0.3157894736842105,1
323,19301,0.3333333333333333,0.3939393939393939,,1,131,0,,green,0,striped,,4,,22b1-3,0.5,131,113,texture,0.55,3,0.65,323,323,solid,1,12.1046,male,0.45,0,"['cloud', 'square', 'blue', 'green']",,1,4,113,task,,22b1,2,,,task,polka-dotted,0.2727272727272727,1
222,6480,0.45,0.275,,1,212,0,,circle,0,striped,,2,,331-3,0.5,212,222,texture,0.9,3,0.55,232,232,solid,2,12.1046,male,0.55,0,"['circle', 'red']",,1,5,222,task,,331,2,,,task,polka-dotted,0.275,1
322,7820,0.37142857142857144,0.2571428571428572,,1,312,0,,red,0,striped,,2,,331-3,0.5,332,312,texture,0.65,3,0.45,332,322,solid,3,12.1046,male,0.65,0,"['square', 'red']",,1,6,322,task,,331,2,,,task,polka-dotted,0.37142857142857144,1
,,,,,1,,0,,,,,,,0.7,,,,,,,3,,,,,,12.1046,,,,,,,,,,,,,,,,,,1
,,,,polka-dotted,1,,0,polka-dotted,,,,striped,,,,,,,,,3,,,,,,12.1046,,,,,0,,,,,solid,,,striped,solid,,,,1
222,14200,0.4,0.2,,1,122,0,,striped,1,circle,,3,,322b-2,0,123,122,shape,0.7,3,0.35,123,222,cloud,0,12.1046,male,0.7,0.5,"['striped', 'red', 'green']",,1,11,222,task,,322b,1,,,task,square,0.4,1
221,4690,0.3,0.5333333333333333,,1,221,0,,striped,1,circle,,4,,22a1-3,0,321,221,shape,0.45,3,0.8,132,132,cloud,1,12.1046,male,0.25,0.5,"['striped', 'polka-dotted', 'blue', 'red']",,1,12,321,task,,22a1,1,,,task,square,0.16666666666666666,1
221,27240,0.40625,0.34375,,1,221,0,,striped,1,circle,,5,,22b1-2,0,232,333,shape,0.65,3,0.55,333,221,cloud,2,12.1046,male,0.4,0.5,"['striped', 'polka-dotted', 'blue', 'red', 'green']",,1,13,232,task,,22b1,1,,,task,square,0.25,1
212,5560,0.35294117647058826,0.3823529411764706,,1,212,0,,red,1,circle,,4,,311-3,0,322,132,shape,0.6,3,0.65,132,212,cloud,3,12.1046,male,0.45,0.5,"['solid', 'striped', 'polka-dotted', 'red']",,1,14,322,task,,311,1,,,task,square,0.2647058823529412,1
,,,,,1,,0,,,,,,,0.35,,,,,,,3,,,,,,12.1046,,,,,,,,,,,,,,,,,,1
,,,,cloud,1,,0,cloud,,,,square,,,,,,,,,3,,,,,,12.1046,,,,,3,,,,,square,,,circle,circle,,,,1
222,14131,0.24,0.72,,2,321,1,,circle,0,red,,4,,311-3,0.5,222,123,color,0.3,3,0.9,123,321,blue,0,28.617616666666667,female,0.05,1,"['cloud', 'circle', 'square', 'striped']",,0,3,222,task,,311,3,,,task,green,0.04,3
221,3262,0.2962962962962963,0.7037037037037036,,2,221,1,,circle,0,red,,4,,22a2b-2b,0.5,112,222,color,0.4,3,0.95,222,221,blue,1,28.617616666666667,female,0,1,"['cloud', 'circle', 'solid', 'striped']",,0,4,112,task,,22a2b,3,,,task,green,0,3
122,10422,0.26666666666666666,0.6666666666666666,,2,231,1,,cloud,0,red,,5,,211-3,0.5,213,231,color,0.4,3,1,213,122,blue,2,28.617616666666667,female,0.1,1,"['cloud', 'circle', 'solid', 'striped', 'polka-dotted']",,0,5,122,task,,211,3,,,task,green,0.06666666666666667,3
111,18372,0.9090909090909091,0.09090909090909091,,2,111,1,,cloud,0,red,,4,,22b1-3,0.5,323,122,color,1,3,0.1,323,111,blue,3,28.617616666666667,female,0,1,"['cloud', 'square', 'solid', 'striped']",,0,6,122,task,,22b1,3,,,task,green,0,3
,,,,,2,,1,,,,,,,0.85,,,,,,,3,,,,,,28.617616666666667,,,,,,,,,,,,,,,,,,3
,,,,green,2,,1,red,,,,green,,,,,,,,,3,,,,,,28.617616666666667,,,,,2,,,,,red,,,blue,blue,,,,3
331,26991,0.625,0.37499999999999994,,2,331,1,,polka-dotted,1,red,,3,,321-3,0,333,322,color,1,3,0.6,333,331,blue,0,28.617616666666667,female,0,0.5,"['square', 'striped', 'polka-dotted']",,1,11,322,task,,321,3,,,task,green,0,3
331,25841,0.625,0.3125,,2,331,1,,square,1,red,,4,,321-2,0,133,233,color,1,3,0.5,233,331,blue,1,28.617616666666667,female,0.1,0.5,"['cloud', 'circle', 'square', 'polka-dotted']",,1,12,133,task,,321,3,,,task,green,0.0625,3
212,6121,0.4117647058823529,0.5882352941176471,,2,231,1,,circle,1,red,,3,,322b-2,0,212,232,color,0.7,3,1,232,231,blue,2,28.617616666666667,female,0,0.5,"['circle', 'solid', 'polka-dotted']",,1,13,212,task,,322b,3,,,task,green,0,3
112,8520,0.4117647058823529,0.5882352941176471,,2,111,1,,cloud,1,red,,2,,331-3,0,112,113,color,0.7,3,1,113,111,blue,3,28.617616666666667,female,0,0.5,"['cloud', 'solid']",,1,14,112,task,,331,3,,,task,green,0,3
,,,,,2,,1,,,,,,,1,,,,,,,3,,,,,,28.617616666666667,,,,,,,,,,,,,,,,,,3
,,,,blue,2,,1,blue,,,,green,,,,,,,,,3,,,,,,28.617616666666667,,,,,3,,,,,green,,,red,red,,,,3
122,3551,0.36363636363636365,0.2954545454545454,,3,121,1,,cloud,0,red,,3,,322b-2,1,222,121,color,0.8,0,0.65,222,122,blue,0,5.341233333333333,female,0.75,0,"['cloud', 'circle', 'striped']",,0.5,3,122,task,,322b,3,,,task,green,0.3409090909090909,0
232,9432,0.37837837837837834,0.27027027027027023,,3,231,1,,polka-dotted,0,red,,4,,22a1-3,1,113,231,color,0.7,0,0.5,113,232,blue,1,5.341233333333333,female,0.65,0,"['cloud', 'circle', 'solid', 'polka-dotted']",,0.5,4,232,task,,22a1,3,,,task,green,0.35135135135135137,0
222,3262,0.32258064516129037,0.12903225806451615,,3,221,1,,circle,0,red,,4,,22a2b-2b,1,222,221,color,0.5,0,0.2,222,112,blue,2,5.341233333333333,female,0.85,0,"['cloud', 'circle', 'solid', 'striped']",,0.5,5,112,task,,22a2b,3,,,task,green,0.5483870967741936,0
223,16611,0.36111111111111116,0.2777777777777778,,3,211,1,,circle,0,red,,4,,311-3,1,211,223,color,0.65,0,0.5,223,232,blue,3,5.341233333333333,female,0.65,0,"['circle', 'solid', 'striped', 'polka-dotted']",,0.5,6,232,task,,311,3,,,task,green,0.36111111111111116,0
,,,,,3,,1,,,,,,,0.8,,,,,,,0,,,,,,5.341233333333333,,,,,,,,,,,,,,,,,,0
,,,,red,3,,1,green,,,,red,,,,,,,,,0,,,,,,5.341233333333333,,,,,1,,,,,blue,,,green,blue,,,,0
113,11372,0.36363636363636365,0.36363636363636365,,3,132,1,,cloud,1,red,,4,,22a2b-2a,1,213,113,color,0.4,0,0.4,213,132,blue,0,5.341233333333333,female,0.3,0.5,"['cloud', 'circle', 'solid', 'polka-dotted']",,0,11,113,task,,22a2b,3,,,task,green,0.2727272727272727,0
311,20412,0.34375,0.3125,,3,311,1,,square,1,red,,4,,22a2b-2b,1,131,311,color,0.55,0,0.5,133,133,blue,1,5.341233333333333,female,0.55,0.5,"['cloud', 'square', 'solid', 'polka-dotted']",,0,12,131,task,,22a2b,3,,,task,green,0.34375,0
221,3712,0.32,0.32,,3,211,1,,circle,1,red,,4,,22a2b-2a,1,221,211,color,0.4,0,0.4,322,322,blue,2,5.341233333333333,female,0.45,0.5,"['circle', 'square', 'solid', 'striped']",,0,13,221,task,,22a2b,3,,,task,green,0.36,0
123,14032,0.39473684210526316,0.2631578947368421,,3,231,1,,cloud,1,red,,4,,22a1-3,1,231,123,color,0.75,0,0.5,123,122,blue,3,5.341233333333333,female,0.65,0.5,"['cloud', 'circle', 'striped', 'polka-dotted']",,0,14,122,task,,22a1,3,,,task,green,0.34210526315789475,0
,,,,,3,,1,,,,,,,0.65,,,,,,,0,,,,,,5.341233333333333,,,,,,,,,,,,,,,,,,0
,,,,blue,3,,1,green,,,,red,,,,,,,,,0,,,,,,5.341233333333333,,,,,2,,,,,red,,,green,blue,,,,0
123,25252,0.5405405405405405,0.27027027027027023,,4,132,3,,striped,0,red,,4,,22b2b-2,0,123,233,color,1,0,0.5,233,132,blue,0,30.815383333333333,male,0.35,0.5,"['cloud', 'circle', 'striped', 'polka-dotted']",,1,3,123,task,,22b2b,3,,,task,green,0.18918918918918917,0
323,18102,0.5161290322580645,0.1935483870967742,,4,121,3,,square,0,red,,4,,22b1-3,0,112,121,color,0.8,0,0.3,323,323,blue,1,30.815383333333333,male,0.45,0.5,"['cloud', 'square', 'solid', 'striped']",,1,4,112,task,,22b1,3,,,task,green,0.2903225806451613,0
132,5492,0.2068965517241379,0.3448275862068965,,4,121,3,,cloud,0,red,,4,,22b2b-2,0,121,322,color,0.3,0,0.5,132,132,blue,2,30.815383333333333,male,0.65,0.5,"['cloud', 'square', 'striped', 'polka-dotted']",,1,5,322,task,,22b2b,3,,,task,green,0.44827586206896547,0
222,7612,0.2368421052631579,0.5,,4,121,3,,striped,0,red,,5,,22b1-2,0,121,222,color,0.45,0,0.95,332,332,blue,3,30.815383333333333,male,0.5,0.5,"['cloud', 'circle', 'square', 'striped', 'polka-dotted']",,1,6,222,task,,22b1,3,,,task,green,0.2631578947368421,0
,,,,,4,,3,,,,,,,0.45,,,,,,,0,,,,,,30.815383333333333,,,,,,,,,,,,,,,,,,0
,,,,blue,4,,3,green,,,,blue,,,,,,,,,0,,,,,,30.815383333333333,,,,,2,,,,,green,,,red,red,,,,0
223,22712,0.19999999999999998,0.26666666666666666,,4,232,3,,circle,1,red,,4,,22b2b-2,1,232,133,color,0.3,0,0.4,133,223,blue,0,30.815383333333333,male,0.8,0.5,"['cloud', 'circle', 'striped', 'polka-dotted']",,0,11,223,task,,22b2b,3,,,task,green,0.5333333333333333,0
132,5482,0.3243243243243243,0.27027027027027023,,4,311,3,,polka-dotted,1,red,,5,,22b1-2,1,132,311,color,0.6,0,0.5,132,322,blue,1,30.815383333333333,male,0.75,0.5,"['cloud', 'square', 'solid', 'striped', 'polka-dotted']",,0,12,322,task,,22b1,3,,,task,green,0.4054054054054054,0
211,15772,0.3589743589743589,0.3333333333333333,,4,211,3,,solid,1,red,,4,,22b1-3,1,223,211,color,0.7,0,0.65,223,112,blue,2,30.815383333333333,male,0.6,0.5,"['cloud', 'circle', 'solid', 'striped']",,0,13,112,task,,22b1,3,,,task,green,0.30769230769230765,0
322,4102,0.36,0.27999999999999997,,4,211,3,,square,1,red,,4,,22a2b-2b,1,211,322,color,0.45,0,0.35,322,212,blue,3,30.815383333333333,male,0.45,0.5,"['circle', 'square', 'solid', 'striped']",,0,14,212,task,,22a2b,3,,,task,green,0.36,0
,,,,,4,,3,,,,,,,0.4,,,,,,,0,,,,,,30.815383333333333,,,,,,,,,,,,,,,,,,0
,,,,blue,4,,3,green,,,,red,,,,,,,,,0,,,,,,30.815383333333333,,,,,2,,,,,red,,,green,blue,,,,0
112,13691,0.12000000000000002,0.7600000000000001,,5,121,3,,cloud,0,red,,3,,321-3,0.5,112,121,color,0.15,4,0.95,123,123,blue,0,13.81865,female,0.15,0,"['cloud', 'solid', 'striped']",,1,3,112,task,,321,3,,,task,green,0.12000000000000002,3
313,11482,0,0,,5,311,3,,square,0,red,,4,,22a2b-2b,0.5,221,311,color,0,4,0,313,313,blue,1,13.81865,female,0.95,0,"['circle', 'square', 'solid', 'striped']",,1,4,221,task,,22a2b,3,,,task,green,1,3
132,5532,0,0.95,,5,231,3,,polka-dotted,0,red,,5,,22b1-2,0.5,322,231,color,0,4,0.95,132,132,blue,2,13.81865,female,0.05,0,"['cloud', 'circle', 'square', 'striped', 'polka-dotted']",,1,5,322,task,,22b1,3,,,task,green,0.05,3
112,8592,0.3333333333333333,0.6333333333333333,,5,231,3,,cloud,0,red,,4,,22a1-3,0.5,113,231,color,0.5,4,0.95,113,112,blue,3,13.81865,female,0.05,0,"['cloud', 'circle', 'solid', 'polka-dotted']",,1,6,112,task,,22a1,3,,,task,green,0.03333333333333333,3
,,,,,5,,3,,,,,,,0.75,,,,,,,4,,,,,,13.81865,,,,,,,,,,,,,,,,,,3
,,,,green,5,,3,blue,,,,green,,,,,,,,,4,,,,,,13.81865,,,,,2,,,,,blue,,,red,red,,,,3
222,7601,0.3103448275862069,0.6551724137931034,,5,311,3,,red,1,striped,,4,,22b1-3,0.5,222,311,texture,0.45,4,0.95,332,332,solid,0,13.81865,female,0.05,0,"['circle', 'square', 'blue', 'red']",,1,11,222,task,,22b1,2,,,task,polka-dotted,0.034482758620689655,3
221,51,0.03333333333333333,0.6333333333333333,,5,111,3,,blue,1,striped,,4,,321-2,0.5,221,311,texture,0.05,4,0.95,221,111,solid,1,13.81865,female,0.5,0,"['cloud', 'circle', 'square', 'blue']",,1,12,311,task,,321,2,,,task,polka-dotted,0.3333333333333333,3
231,7021,0.03333333333333333,0.3333333333333333,,5,211,3,,circle,1,striped,,4,,22a2b-2b,0.5,332,231,texture,0.05,4,0.5,332,211,solid,2,13.81865,female,0.95,0,"['circle', 'square', 'blue', 'red']",,1,13,231,task,,22a2b,2,,,task,polka-dotted,0.6333333333333333,3
222,8951,0.03333333333333333,0.6333333333333333,,5,211,3,,circle,1,striped,,5,,22b1-2,0.5,113,211,texture,0.05,4,0.95,113,222,solid,3,13.81865,female,0.5,0,"['cloud', 'circle', 'blue', 'red', 'green']",,1,14,222,task,,22b1,2,,,task,polka-dotted,0.3333333333333333,3
,,,,,5,,3,,,,,,,0.95,,,,,,,4,,,,,,13.81865,,,,,,,,,,,,,,,,,,3
,,,,polka-dotted,5,,3,polka-dotted,,,,solid,,,,,,,,,4,,,,,,13.81865,,,,,3,,,,,solid,,,striped,striped,,,,3
222,14131,0.3529411764705882,0.4411764705882352,,6,321,2,,circle,0,red,,4,,311-3,0,321,222,color,0.6,2,0.75,123,123,blue,0,11.39235,female,0.35,0.5,"['cloud', 'circle', 'square', 'striped']",,1,3,222,task,,311,3,,,task,green,0.20588235294117643,1
121,16211,0.48387096774193544,0.16129032258064516,,6,121,2,,cloud,0,red,,3,,321-3,0,223,222,color,0.75,2,0.25,223,121,blue,1,11.39235,female,0.55,0.5,"['cloud', 'circle', 'striped']",,1,4,222,task,,321,3,,,task,green,0.3548387096774194,1
221,16802,0.346938775510204,0.346938775510204,,6,221,2,,circle,0,red,,4,,22a1-3,0,221,223,color,0.85,2,0.85,223,332,blue,2,11.39235,female,0.75,0.5,"['circle', 'square', 'striped', 'polka-dotted']",,1,5,332,task,,22a1,3,,,task,green,0.3061224489795918,1
133,21521,0.35,0.1,,6,331,2,,cloud,0,red,,4,,311-3,0,331,133,color,0.35,2,0.1,133,232,blue,3,11.39235,female,0.55,0.5,"['cloud', 'circle', 'square', 'polka-dotted']",,1,6,232,task,,311,3,,,task,green,0.55,1
,,,,,6,,2,,,,,,,0.85,,,,,,,2,,,,,,11.39235,,,,,,,,,,,,,,,,,,1
,,,,blue,6,,2,blue,,,,red,,,,,,,,,2,,,,,,11.39235,,,,,0,,,,,green,,,red,green,,,,1
213,10070,0.20512820512820515,0.4358974358974359,,6,311,2,,green,1,circle,,4,,311-3,0,311,112,shape,0.4,2,0.85,213,213,cloud,0,11.39235,female,0.7,1,"['solid', 'blue', 'red', 'green']",,0.5,11,112,task,,311,1,,,task,square,0.358974358974359,1
131,17890,0.35714285714285715,0.23809523809523808,,6,121,2,,polka-dotted,1,circle,,4,,22a2b-2a,0,323,131,shape,0.75,2,0.5,323,121,cloud,1,11.39235,female,0.85,1,"['striped', 'polka-dotted', 'blue', 'green']",,0.5,12,131,task,,22a2b,1,,,task,square,0.4047619047619047,1
233,25300,0.15151515151515152,0.4848484848484849,,6,313,2,,polka-dotted,1,circle,,4,,311-3,0,313,123,shape,0.25,2,0.8,233,233,cloud,2,11.39235,female,0.6,1,"['solid', 'striped', 'polka-dotted', 'green']",,0.5,13,123,task,,311,1,,,task,square,0.36363636363636365,1
111,20250,0.5,0.15,,6,111,2,,blue,1,circle,,4,,22a2b-2b,0,133,311,shape,0.5,2,0.15,133,111,cloud,3,11.39235,female,0.35,1,"['solid', 'polka-dotted', 'blue', 'green']",,0.5,14,311,task,,22a2b,1,,,task,square,0.35,1
,,,,,6,,2,,,,,,,0.7,,,,,,,2,,,,,,11.39235,,,,,,,,,,,,,,,,,,1
,,,,circle,6,,2,square,,,,circle,,,,,,,,,2,,,,,,11.39235,,,,,2,,,,,square,,,cloud,cloud,,,,1
121,230,0,1,,7,111,1,,blue,0,striped,,2,,331-3,0.5,111,131,texture,0,3,1,131,121,solid,0,18.821816666666667,female,0,0,"['cloud', 'blue']",,1,3,121,task,,331,2,,,task,polka-dotted,0,1
331,3940,1,0,,7,311,1,,blue,0,striped,,3,,321-3,0.5,331,311,texture,1,3,0,322,322,solid,1,18.821816666666667,female,0,0,"['square', 'blue', 'red']",,1,4,331,task,,321,2,,,task,polka-dotted,0,1
222,7611,0,1,,7,121,1,,circle,0,striped,,5,,22b1-2,0.5,121,332,texture,0,3,1,332,222,solid,2,18.821816666666667,female,0,0,"['cloud', 'circle', 'square', 'blue', 'red']",,1,5,222,task,,22b1,2,,,task,polka-dotted,0,1
223,15631,0,1,,7,311,1,,circle,0,striped,,4,,22b1-3,0.5,311,231,texture,0,3,1,223,223,solid,3,18.821816666666667,female,0,0,"['circle', 'square', 'blue', 'green']",,1,6,231,task,,22b1,2,,,task,polka-dotted,0,1
,,,,,7,,1,,,,,,,1,,,,,,,3,,,,,,18.821816666666667,,,,,,,,,,,,,,,,,,1
,,,,polka-dotted,7,,1,polka-dotted,,,,solid,,,,,,,,,3,,,,,,18.821816666666667,,,,,3,,,,,solid,,,striped,striped,,,,1
231,23242,1,0,,7,121,1,,polka-dotted,1,red,,4,,22a2b-2b,0.5,231,233,color,1,3,0,233,121,blue,0,18.821816666666667,female,0,1,"['cloud', 'circle', 'striped', 'polka-dotted']",,0,11,231,task,,22a2b,3,,,task,green,0,1
111,18072,1,0,,7,111,1,,cloud,1,red,,4,,22a1-3,0.5,112,111,color,1,3,0,323,323,blue,1,18.821816666666667,female,0,1,"['cloud', 'square', 'solid', 'striped']",,0,12,112,task,,22a1,3,,,task,green,0,1
213,11102,0.047619047619047616,0,,7,321,1,,circle,1,red,,5,,211-3,0.5,321,332,color,0.05,3,0,213,213,blue,2,18.821816666666667,female,1,1,"['circle', 'square', 'solid', 'striped', 'polka-dotted']",,0,13,332,task,,211,3,,,task,green,0.9523809523809523,1
211,4102,1,0,,7,211,1,,circle,1,red,,4,,22a2b-2b,0.5,211,212,color,1,3,0,322,322,blue,3,18.821816666666667,female,0,1,"['circle', 'square', 'solid', 'striped']",,0,14,212,task,,22a2b,3,,,task,green,0,1
,,,,,7,,1,,,,,,,1,,,,,,,3,,,,,,18.821816666666667,,,,,,,,,,,,,,,,,,1
,,,,green,7,,1,green,,,,red,,,,,,,,,3,,,,,,18.821816666666667,,,,,3,,,,,red,,,blue,blue,,,,1
211,22561,1,0,,8,211,1,,blue,0,striped,,4,,22b1-3,1,133,211,texture,1,3,0,133,223,solid,0,10.0709,male,0,0,"['cloud', 'circle', 'blue', 'green']",,0.5,3,223,task,,22b1,2,,,task,polka-dotted,0,2
333,27561,0.393939393939394,0,,8,121,1,,green,0,striped,,4,,22b1-3,1,113,333,texture,0.65,3,0,333,121,solid,1,10.0709,male,1,0,"['cloud', 'square', 'blue', 'green']",,0.5,4,113,task,,22b1,2,,,task,polka-dotted,0.6060606060606061,2
132,5300,0.393939393939394,0,,8,112,1,,cloud,0,striped,,2,,331-3,1,112,122,texture,0.65,3,0,132,132,solid,2,10.0709,male,1,0,"['cloud', 'red']",,0.5,5,122,task,,331,2,,,task,polka-dotted,0.6060606060606061,2
332,7021,0.42857142857142855,0,,8,211,1,,red,0,striped,,4,,22a2b-2b,1,332,231,texture,0.75,3,0,332,211,solid,3,10.0709,male,1,0,"['circle', 'square', 'blue', 'red']",,0.5,6,231,task,,22a2b,2,,,task,polka-dotted,0.5714285714285714,2
,,,,,8,,1,,,,,,,1,,,,,,,3,,,,,,10.0709,,,,,,,,,,,,,,,,,,2
,,,,striped,8,,1,solid,,,,striped,,,,,,,,,3,,,,,,10.0709,,,,,2,,,,,solid,,,polka-dotted,polka-dotted,,,,2
231,11752,1,0,,8,231,1,,circle,1,red,,4,,22a2b-2a,0.5,331,231,color,1,3,0,313,313,blue,0,10.0709,male,0,1,"['circle', 'square', 'solid', 'polka-dotted']",,0,11,331,task,,22a2b,3,,,task,green,0,2
231,6121,1,0,,8,231,1,,circle,1,red,,3,,322b-2,0.5,232,212,color,1,3,0,232,231,blue,1,10.0709,male,0,1,"['circle', 'solid', 'polka-dotted']",,0,12,212,task,,322b,3,,,task,green,0,2
231,24270,1,0,,8,231,1,,polka-dotted,1,red,,2,,331-3,0.5,233,231,color,1,3,0,233,232,blue,2,10.0709,male,0,1,"['circle', 'polka-dotted']",,0,13,232,task,,331,3,,,task,green,0,2
211,15772,1,0,,8,211,1,,circle,1,red,,4,,22b1-3,0.5,112,211,color,1,3,0,223,223,blue,3,10.0709,male,0,1,"['cloud', 'circle', 'solid', 'striped']",,0,14,112,task,,22b1,3,,,task,green,0,2
,,,,,8,,1,,,,,,,1,,,,,,,3,,,,,,10.0709,,,,,,,,,,,,,,,,,,2
,,,,green,8,,1,green,,,,red,,,,,,,,,3,,,,,,10.0709,,,,,3,,,,,red,,,blue,blue,,,,2
223,16571,0,1,,9,122,2,,circle,0,striped,,4,,22a2b-2b,0.5,122,223,texture,0,2,0.75,223,132,solid,0,8.198933333333333,female,0,1,"['cloud', 'circle', 'red', 'green']",,0,3,132,task,,22a2b,2,,,task,polka-dotted,0,1
212,6611,0,0,,9,212,2,,circle,0,striped,,3,,321-3,0.5,322,212,texture,0,2,0,232,232,solid,1,8.198933333333333,female,1,1,"['circle', 'square', 'red']",,0,4,322,task,,321,2,,,task,polka-dotted,1,1
233,25421,0,0.5,,9,312,2,,circle,0,striped,,4,,22a1-3,0.5,233,223,texture,0,2,1,233,312,solid,2,8.198933333333333,female,1,1,"['circle', 'square', 'red', 'green']",,0,5,223,task,,22a1,2,,,task,polka-dotted,0.5,1
132,12571,,,,9,122,2,,cloud,0,striped,,4,,22a1-3,0.5,122,132,texture,0,2,0,313,313,solid,3,8.198933333333333,female,0,1,"['cloud', 'square', 'red', 'green']",,0,6,132,task,,22a1,2,,,task,polka-dotted,,1
,,,,,9,,2,,,,,,,1,,,,,,,2,,,,,,8.198933333333333,,,,,,,,,,,,,,,,,,1
,,,,polka-dotted,9,,2,"striped,polka-dotted",,,,solid,,,,,,,,,2,,,,,,8.198933333333333,,,,,0,,,,,striped,,,solid,solid,,,,1
131,24111,0.5294117647058824,0,,9,131,2,,cloud,1,red,,3,,321-3,0,233,131,color,0.45,2,0,233,132,blue,0,8.198933333333333,female,0.4,1,"['cloud', 'circle', 'polka-dotted']",,0.5,11,132,task,,321,3,,,task,green,0.47058823529411764,1
221,25351,0.8,0,,9,221,2,,circle,1,red,,3,,322b-2,0,223,221,color,0.2,2,0,233,233,blue,1,8.198933333333333,female,0.05,1,"['circle', 'striped', 'polka-dotted']",,0.5,12,223,task,,322b,3,,,task,green,0.2,1
221,23821,0.5,0,,9,221,2,,circle,1,red,,3,,321-3,0,222,233,color,1,2,0,233,221,blue,2,8.198933333333333,female,1,1,"['circle', 'striped', 'polka-dotted']",,0.5,13,222,task,,321,3,,,task,green,0.5,1
321,14131,0.11111111111111112,0,,9,321,2,,square,1,red,,4,,311-3,0,123,321,color,0.05,2,0,123,222,blue,3,8.198933333333333,female,0.4,1,"['cloud', 'circle', 'square', 'striped']",,0.5,14,222,task,,311,3,,,task,green,0.888888888888889,1
,,,,,9,,2,,,,,,,1,,,,,,,2,,,,,,8.198933333333333,,,,,,,,,,,,,,,,,,1
,,,,red,9,,2,blue,,,,red,,,,,,,,,2,,,,,,8.198933333333333,,,,,1,,,,,green,,,blue,green,,,,1
