"","workerid","simulatedAnswer","item","normResponse0","normResponse1","simRank1","obj1","Answer.score_quiz3","guessRank1","utterance","blockNr","pref1","guessRank2","numFeatures","certainty","targetUttCode","simPreference2","order1","order2","targetFeature","response0","Answer.score_quiz1","response1","obj3","order0","pref0","trialNum","Answer.time_in_minutes","sex","response2","simPreference0","featuresPresent","evalNum","simPreference1","obj2","simRank2","uttCode","targetFeatureNum","simRank0","guessRank0","pref2","normResponse2","Answer.score_quiz2","assess","enjoyment","education","age","comments","language","gender"
"14",1,221,4690,0.3,0.533333333333333,"cloud",221,0,"cloud","striped",1,"circle","square",4,0.35,"22a1-3",0,321,221,"shape",0.45,3,0.8,132,132,"cloud",1,12.1046,"male",0.25,0.5,"['striped', 'polka-dotted', 'blue', 'red']",3,1,321,"square","22a1",1,"circle","circle","square",0.166666666666667,1,"Yes",1,3,32,"nice","english","Female"
"15",1,221,27240,0.40625,0.34375,"cloud",221,0,"cloud","striped",1,"circle","square",5,0.35,"22b1-2",0,232,333,"shape",0.65,3,0.55,333,221,"cloud",2,12.1046,"male",0.4,0.5,"['striped', 'polka-dotted', 'blue', 'red', 'green']",3,1,232,"square","22b1",1,"circle","circle","square",0.25,1,"Yes",1,3,32,"nice","english","Female"
"16",1,212,5560,0.352941176470588,0.382352941176471,"cloud",212,0,"cloud","red",1,"circle","square",4,0.35,"311-3",0,322,132,"shape",0.6,3,0.65,132,212,"cloud",3,12.1046,"male",0.45,0.5,"['solid', 'striped', 'polka-dotted', 'red']",3,1,322,"square","311",1,"circle","circle","square",0.264705882352941,1,"Yes",1,3,32,"nice","english","Female"
"17",2,222,14131,0.24,0.72,"green",321,1,"red","circle",0,"red","green",4,0.85,"311-3",0.5,222,123,"color",0.3,3,0.9,123,321,"blue",0,28.6176166666667,"female",0.05,1,"['cloud', 'circle', 'square', 'striped']",2,0,222,"red","311",3,"blue","blue","green",0.04,3,"Yes",2,3,30,"a very interesting task although the last bit was a little tricky","English","Male"
"18",2,221,3262,0.296296296296296,0.703703703703704,"green",221,1,"red","circle",0,"red","green",4,0.85,"22a2b-2b",0.5,112,222,"color",0.4,3,0.95,222,221,"blue",1,28.6176166666667,"female",0,1,"['cloud', 'circle', 'solid', 'striped']",2,0,112,"red","22a2b",3,"blue","blue","green",0,3,"Yes",2,3,30,"a very interesting task although the last bit was a little tricky","English","Male"
"19",2,122,10422,0.266666666666667,0.666666666666667,"green",231,1,"red","cloud",0,"red","green",5,0.85,"211-3",0.5,213,231,"color",0.4,3,1,213,122,"blue",2,28.6176166666667,"female",0.1,1,"['cloud', 'circle', 'solid', 'striped', 'polka-dotted']",2,0,122,"red","211",3,"blue","blue","green",0.0666666666666667,3,"Yes",2,3,30,"a very interesting task although the last bit was a little tricky","English","Male"
"20",2,111,18372,0.909090909090909,0.0909090909090909,"green",111,1,"red","cloud",0,"red","green",4,0.85,"22b1-3",0.5,323,122,"color",1,3,0.1,323,111,"blue",3,28.6176166666667,"female",0,1,"['cloud', 'square', 'solid', 'striped']",2,0,122,"red","22b1",3,"blue","blue","green",0,3,"Yes",2,3,30,"a very interesting task although the last bit was a little tricky","English","Male"
"21",2,331,26991,0.625,0.375,"blue",331,1,"blue","polka-dotted",1,"red","green",3,1,"321-3",0,333,322,"color",1,3,0.6,333,331,"blue",0,28.6176166666667,"female",0,0.5,"['square', 'striped', 'polka-dotted']",3,1,322,"green","321",3,"red","red","green",0,3,"Yes",2,3,30,"a very interesting task although the last bit was a little tricky","English","Male"
"22",2,331,25841,0.625,0.3125,"blue",331,1,"blue","square",1,"red","green",4,1,"321-2",0,133,233,"color",1,3,0.5,233,331,"blue",1,28.6176166666667,"female",0.1,0.5,"['cloud', 'circle', 'square', 'polka-dotted']",3,1,133,"green","321",3,"red","red","green",0.0625,3,"Yes",2,3,30,"a very interesting task although the last bit was a little tricky","English","Male"
"23",2,212,6121,0.411764705882353,0.588235294117647,"blue",231,1,"blue","circle",1,"red","green",3,1,"322b-2",0,212,232,"color",0.7,3,1,232,231,"blue",2,28.6176166666667,"female",0,0.5,"['circle', 'solid', 'polka-dotted']",3,1,212,"green","322b",3,"red","red","green",0,3,"Yes",2,3,30,"a very interesting task although the last bit was a little tricky","English","Male"
"24",2,112,8520,0.411764705882353,0.588235294117647,"blue",111,1,"blue","cloud",1,"red","green",2,1,"331-3",0,112,113,"color",0.7,3,1,113,111,"blue",3,28.6176166666667,"female",0,0.5,"['cloud', 'solid']",3,1,112,"green","331",3,"red","red","green",0,3,"Yes",2,3,30,"a very interesting task although the last bit was a little tricky","English","Male"
"25",4,123,25252,0.54054054054054,0.27027027027027,"blue",132,3,"green","striped",0,"red","blue",4,0.45,"22b2b-2",0,123,233,"color",1,0,0.5,233,132,"blue",0,30.8153833333333,"male",0.35,0.5,"['cloud', 'circle', 'striped', 'polka-dotted']",2,1,123,"green","22b2b",3,"red","red","green",0.189189189189189,0,"Yes",2,3,35,"i think the second was very confusing. the word part. i loved and enjoyed generally though","english","Male"
"26",4,323,18102,0.516129032258065,0.193548387096774,"blue",121,3,"green","square",0,"red","blue",4,0.45,"22b1-3",0,112,121,"color",0.8,0,0.3,323,323,"blue",1,30.8153833333333,"male",0.45,0.5,"['cloud', 'square', 'solid', 'striped']",2,1,112,"green","22b1",3,"red","red","green",0.290322580645161,0,"Yes",2,3,35,"i think the second was very confusing. the word part. i loved and enjoyed generally though","english","Male"
"27",4,132,5492,0.206896551724138,0.344827586206897,"blue",121,3,"green","cloud",0,"red","blue",4,0.45,"22b2b-2",0,121,322,"color",0.3,0,0.5,132,132,"blue",2,30.8153833333333,"male",0.65,0.5,"['cloud', 'square', 'striped', 'polka-dotted']",2,1,322,"green","22b2b",3,"red","red","green",0.448275862068965,0,"Yes",2,3,35,"i think the second was very confusing. the word part. i loved and enjoyed generally though","english","Male"
"28",4,222,7612,0.236842105263158,0.5,"blue",121,3,"green","striped",0,"red","blue",5,0.45,"22b1-2",0,121,222,"color",0.45,0,0.95,332,332,"blue",3,30.8153833333333,"male",0.5,0.5,"['cloud', 'circle', 'square', 'striped', 'polka-dotted']",2,1,222,"green","22b1",3,"red","red","green",0.263157894736842,0,"Yes",2,3,35,"i think the second was very confusing. the word part. i loved and enjoyed generally though","english","Male"
"29",4,223,22712,0.2,0.266666666666667,"blue",232,3,"green","circle",1,"red","red",4,0.4,"22b2b-2",1,232,133,"color",0.3,0,0.4,133,223,"blue",0,30.8153833333333,"male",0.8,0.5,"['cloud', 'circle', 'striped', 'polka-dotted']",2,0,223,"red","22b2b",3,"green","blue","green",0.533333333333333,0,"Yes",2,3,35,"i think the second was very confusing. the word part. i loved and enjoyed generally though","english","Male"
"30",4,132,5482,0.324324324324324,0.27027027027027,"blue",311,3,"green","polka-dotted",1,"red","red",5,0.4,"22b1-2",1,132,311,"color",0.6,0,0.5,132,322,"blue",1,30.8153833333333,"male",0.75,0.5,"['cloud', 'square', 'solid', 'striped', 'polka-dotted']",2,0,322,"red","22b1",3,"green","blue","green",0.405405405405405,0,"Yes",2,3,35,"i think the second was very confusing. the word part. i loved and enjoyed generally though","english","Male"
"31",4,211,15772,0.358974358974359,0.333333333333333,"blue",211,3,"green","solid",1,"red","red",4,0.4,"22b1-3",1,223,211,"color",0.7,0,0.65,223,112,"blue",2,30.8153833333333,"male",0.6,0.5,"['cloud', 'circle', 'solid', 'striped']",2,0,112,"red","22b1",3,"green","blue","green",0.307692307692308,0,"Yes",2,3,35,"i think the second was very confusing. the word part. i loved and enjoyed generally though","english","Male"
"32",4,322,4102,0.36,0.28,"blue",211,3,"green","square",1,"red","red",4,0.4,"22a2b-2b",1,211,322,"color",0.45,0,0.35,322,212,"blue",3,30.8153833333333,"male",0.45,0.5,"['circle', 'square', 'solid', 'striped']",2,0,212,"red","22a2b",3,"green","blue","green",0.36,0,"Yes",2,3,35,"i think the second was very confusing. the word part. i loved and enjoyed generally though","english","Male"
"33",5,112,13691,0.12,0.76,"green",121,3,"blue","cloud",0,"red","green",3,0.75,"321-3",0.5,112,121,"color",0.15,4,0.95,123,123,"blue",0,13.81865,"female",0.15,0,"['cloud', 'solid', 'striped']",2,1,112,"blue","321",3,"red","red","green",0.12,3,"Yes",2,1,29,"This was a really cool experiment, thank you. Funner than the average Mturk hit!","English","Female"
"34",5,313,11482,0,0,"green",311,3,"blue","square",0,"red","green",4,0.75,"22a2b-2b",0.5,221,311,"color",0,4,0,313,313,"blue",1,13.81865,"female",0.95,0,"['circle', 'square', 'solid', 'striped']",2,1,221,"blue","22a2b",3,"red","red","green",1,3,"Yes",2,1,29,"This was a really cool experiment, thank you. Funner than the average Mturk hit!","English","Female"
"35",5,132,5532,0,0.95,"green",231,3,"blue","polka-dotted",0,"red","green",5,0.75,"22b1-2",0.5,322,231,"color",0,4,0.95,132,132,"blue",2,13.81865,"female",0.05,0,"['cloud', 'circle', 'square', 'striped', 'polka-dotted']",2,1,322,"blue","22b1",3,"red","red","green",0.05,3,"Yes",2,1,29,"This was a really cool experiment, thank you. Funner than the average Mturk hit!","English","Female"
"36",5,112,8592,0.333333333333333,0.633333333333333,"green",231,3,"blue","cloud",0,"red","green",4,0.75,"22a1-3",0.5,113,231,"color",0.5,4,0.95,113,112,"blue",3,13.81865,"female",0.05,0,"['cloud', 'circle', 'solid', 'polka-dotted']",2,1,112,"blue","22a1",3,"red","red","green",0.0333333333333333,3,"Yes",2,1,29,"This was a really cool experiment, thank you. Funner than the average Mturk hit!","English","Female"
"37",5,222,7601,0.310344827586207,0.655172413793103,"polka-dotted",311,3,"polka-dotted","red",1,"striped","solid",4,0.95,"22b1-3",0.5,222,311,"texture",0.45,4,0.95,332,332,"solid",0,13.81865,"female",0.05,0,"['circle', 'square', 'blue', 'red']",3,1,222,"solid","22b1",2,"striped","striped","polka-dotted",0.0344827586206897,3,"Yes",2,1,29,"This was a really cool experiment, thank you. Funner than the average Mturk hit!","English","Female"
"38",5,221,51,0.0333333333333333,0.633333333333333,"polka-dotted",111,3,"polka-dotted","blue",1,"striped","solid",4,0.95,"321-2",0.5,221,311,"texture",0.05,4,0.95,221,111,"solid",1,13.81865,"female",0.5,0,"['cloud', 'circle', 'square', 'blue']",3,1,311,"solid","321",2,"striped","striped","polka-dotted",0.333333333333333,3,"Yes",2,1,29,"This was a really cool experiment, thank you. Funner than the average Mturk hit!","English","Female"
"39",5,231,7021,0.0333333333333333,0.333333333333333,"polka-dotted",211,3,"polka-dotted","circle",1,"striped","solid",4,0.95,"22a2b-2b",0.5,332,231,"texture",0.05,4,0.5,332,211,"solid",2,13.81865,"female",0.95,0,"['circle', 'square', 'blue', 'red']",3,1,231,"solid","22a2b",2,"striped","striped","polka-dotted",0.633333333333333,3,"Yes",2,1,29,"This was a really cool experiment, thank you. Funner than the average Mturk hit!","English","Female"
"40",5,222,8951,0.0333333333333333,0.633333333333333,"polka-dotted",211,3,"polka-dotted","circle",1,"striped","solid",5,0.95,"22b1-2",0.5,113,211,"texture",0.05,4,0.95,113,222,"solid",3,13.81865,"female",0.5,0,"['cloud', 'circle', 'blue', 'red', 'green']",3,1,222,"solid","22b1",2,"striped","striped","polka-dotted",0.333333333333333,3,"Yes",2,1,29,"This was a really cool experiment, thank you. Funner than the average Mturk hit!","English","Female"
"41",8,211,22561,1,0,"striped",211,1,"solid","blue",0,"striped","striped",4,1,"22b1-3",1,133,211,"texture",1,3,0,133,223,"solid",0,10.0709,"male",0,0,"['cloud', 'circle', 'blue', 'green']",2,0.5,223,"solid","22b1",2,"polka-dotted","polka-dotted","polka-dotted",0,2,"Yes",2,3,30,NA,"English","Female"
"42",8,333,27561,0.393939393939394,0,"striped",121,1,"solid","green",0,"striped","striped",4,1,"22b1-3",1,113,333,"texture",0.65,3,0,333,121,"solid",1,10.0709,"male",1,0,"['cloud', 'square', 'blue', 'green']",2,0.5,113,"solid","22b1",2,"polka-dotted","polka-dotted","polka-dotted",0.606060606060606,2,"Yes",2,3,30,NA,"English","Female"
"43",8,132,5300,0.393939393939394,0,"striped",112,1,"solid","cloud",0,"striped","striped",2,1,"331-3",1,112,122,"texture",0.65,3,0,132,132,"solid",2,10.0709,"male",1,0,"['cloud', 'red']",2,0.5,122,"solid","331",2,"polka-dotted","polka-dotted","polka-dotted",0.606060606060606,2,"Yes",2,3,30,NA,"English","Female"
"44",8,332,7021,0.428571428571429,0,"striped",211,1,"solid","red",0,"striped","striped",4,1,"22a2b-2b",1,332,231,"texture",0.75,3,0,332,211,"solid",3,10.0709,"male",1,0,"['circle', 'square', 'blue', 'red']",2,0.5,231,"solid","22a2b",2,"polka-dotted","polka-dotted","polka-dotted",0.571428571428571,2,"Yes",2,3,30,NA,"English","Female"
"45",8,231,11752,1,0,"green",231,1,"green","circle",1,"red","red",4,1,"22a2b-2a",0.5,331,231,"color",1,3,0,313,313,"blue",0,10.0709,"male",0,1,"['circle', 'square', 'solid', 'polka-dotted']",3,0,331,"red","22a2b",3,"blue","blue","green",0,2,"Yes",2,3,30,NA,"English","Female"
"46",8,231,6121,1,0,"green",231,1,"green","circle",1,"red","red",3,1,"322b-2",0.5,232,212,"color",1,3,0,232,231,"blue",1,10.0709,"male",0,1,"['circle', 'solid', 'polka-dotted']",3,0,212,"red","322b",3,"blue","blue","green",0,2,"Yes",2,3,30,NA,"English","Female"
"47",8,231,24270,1,0,"green",231,1,"green","polka-dotted",1,"red","red",2,1,"331-3",0.5,233,231,"color",1,3,0,233,232,"blue",2,10.0709,"male",0,1,"['circle', 'polka-dotted']",3,0,232,"red","331",3,"blue","blue","green",0,2,"Yes",2,3,30,NA,"English","Female"
"48",8,211,15772,1,0,"green",211,1,"green","circle",1,"red","red",4,1,"22b1-3",0.5,112,211,"color",1,3,0,223,223,"blue",3,10.0709,"male",0,1,"['cloud', 'circle', 'solid', 'striped']",3,0,112,"red","22b1",3,"blue","blue","green",0,2,"Yes",2,3,30,NA,"English","Female"
"49",9,223,16571,0,1,"polka-dotted",122,2,"striped,polka-dotted","circle",0,"striped","solid",4,1,"22a2b-2b",0.5,122,223,"texture",0,2,0.75,223,132,"solid",0,8.19893333333333,"female",0,1,"['cloud', 'circle', 'red', 'green']",0,0,132,"striped","22a2b",2,"solid","solid","polka-dotted",0,1,"Yes",1,3,37,NA,"english","Male"
"50",9,212,6611,0,0,"polka-dotted",212,2,"striped,polka-dotted","circle",0,"striped","solid",3,1,"321-3",0.5,322,212,"texture",0,2,0,232,232,"solid",1,8.19893333333333,"female",1,1,"['circle', 'square', 'red']",0,0,322,"striped","321",2,"solid","solid","polka-dotted",1,1,"Yes",1,3,37,NA,"english","Male"
"51",9,233,25421,0,0.5,"polka-dotted",312,2,"striped,polka-dotted","circle",0,"striped","solid",4,1,"22a1-3",0.5,233,223,"texture",0,2,1,233,312,"solid",2,8.19893333333333,"female",1,1,"['circle', 'square', 'red', 'green']",0,0,223,"striped","22a1",2,"solid","solid","polka-dotted",0.5,1,"Yes",1,3,37,NA,"english","Male"
"52",9,132,12571,NA,NA,"polka-dotted",122,2,"striped,polka-dotted","cloud",0,"striped","solid",4,1,"22a1-3",0.5,122,132,"texture",0,2,0,313,313,"solid",3,8.19893333333333,"female",0,1,"['cloud', 'square', 'red', 'green']",0,0,132,"striped","22a1",2,"solid","solid","polka-dotted",NA,1,"Yes",1,3,37,NA,"english","Male"
"53",9,131,24111,0.529411764705882,0,"red",131,2,"blue","cloud",1,"red","red",3,1,"321-3",0,233,131,"color",0.45,2,0,233,132,"blue",0,8.19893333333333,"female",0.4,1,"['cloud', 'circle', 'polka-dotted']",1,0.5,132,"green","321",3,"blue","green","green",0.470588235294118,1,"Yes",1,3,37,NA,"english","Male"
"54",9,221,25351,0.8,0,"red",221,2,"blue","circle",1,"red","red",3,1,"322b-2",0,223,221,"color",0.2,2,0,233,233,"blue",1,8.19893333333333,"female",0.05,1,"['circle', 'striped', 'polka-dotted']",1,0.5,223,"green","322b",3,"blue","green","green",0.2,1,"Yes",1,3,37,NA,"english","Male"
"55",9,221,23821,0.5,0,"red",221,2,"blue","circle",1,"red","red",3,1,"321-3",0,222,233,"color",1,2,0,233,221,"blue",2,8.19893333333333,"female",1,1,"['circle', 'striped', 'polka-dotted']",1,0.5,222,"green","321",3,"blue","green","green",0.5,1,"Yes",1,3,37,NA,"english","Male"
"56",9,321,14131,0.111111111111111,0,"red",321,2,"blue","square",1,"red","red",4,1,"311-3",0,123,321,"color",0.05,2,0,123,222,"blue",3,8.19893333333333,"female",0.4,1,"['cloud', 'circle', 'square', 'striped']",1,0.5,222,"green","311",3,"blue","green","green",0.888888888888889,1,"Yes",1,3,37,NA,"english","Male"
"57",10,131,24420,0.952380952380952,0,"square",131,2,"circle","blue",0,"circle","square",4,0.95,"311-3",0.5,332,233,"shape",1,3,0,233,131,"cloud",0,12.9597833333333,"female",0.05,0,"['polka-dotted', 'blue', 'red', 'green']",1,1,332,"cloud","311",1,"circle","cloud","square",0.0476190476190476,3,"Yes",2,1,65,NA,"ENGLISH","Female"
"58",10,212,4110,0.5,0.5,"square",311,2,"circle","red",0,"circle","square",4,0.95,"22b2b-2",0.5,322,311,"shape",1,3,1,322,212,"cloud",1,12.9597833333333,"female",0,0,"['solid', 'striped', 'blue', 'red']",1,1,212,"cloud","22b2b",1,"circle","cloud","square",0,3,"Yes",2,1,65,NA,"ENGLISH","Female"
"59",10,131,2070,0.5,0.5,"square",131,2,"circle","blue",0,"circle","square",4,0.95,"22a2b-2b",0.5,112,131,"shape",1,3,1,312,312,"cloud",2,12.9597833333333,"female",0,0,"['solid', 'polka-dotted', 'blue', 'red']",1,1,112,"cloud","22a2b",1,"circle","cloud","square",0,3,"Yes",2,1,65,NA,"ENGLISH","Female"
"60",10,212,7330,0.5,0.5,"square",331,2,"circle","solid",0,"circle","square",4,0.95,"22a2b-2a",0.5,332,212,"shape",1,3,1,332,331,"cloud",3,12.9597833333333,"female",0,0,"['solid', 'polka-dotted', 'blue', 'red']",1,1,212,"cloud","22a2b",1,"circle","cloud","square",0,3,"Yes",2,1,65,NA,"ENGLISH","Female"
"61",10,322,5531,0,1,"polka-dotted",231,2,"solid","square",1,"striped","polka-dotted",5,0.6,"22b1-2",0.5,322,132,"texture",0,3,1,132,231,"solid",0,12.9597833333333,"female",0,0,"['cloud', 'circle', 'square', 'blue', 'red']",2,1,322,"solid","22b1",2,"striped","striped","polka-dotted",0,3,"Yes",2,1,65,NA,"ENGLISH","Female"
"62",10,222,3291,0,1,"polka-dotted",231,2,"solid","circle",1,"striped","polka-dotted",4,0.6,"22b1-3",0.5,231,222,"texture",0,3,1,222,112,"solid",1,12.9597833333333,"female",0,0,"['cloud', 'circle', 'blue', 'red']",2,1,112,"solid","22b1",2,"striped","striped","polka-dotted",0,3,"Yes",2,1,65,NA,"ENGLISH","Female"
"63",10,113,8850,0.5,0.5,"polka-dotted",121,2,"solid","green",1,"striped","polka-dotted",4,0.6,"321-2",0.5,121,122,"texture",1,3,1,113,113,"solid",2,12.9597833333333,"female",0,0,"['cloud', 'blue', 'red', 'green']",2,1,122,"solid","321",2,"striped","striped","polka-dotted",0,3,"Yes",2,1,65,NA,"ENGLISH","Female"
"64",10,323,19481,0.310344827586207,0.689655172413793,"polka-dotted",131,2,"solid","green",1,"striped","polka-dotted",5,0.6,"211-3",0.5,323,131,"texture",0.45,3,1,323,213,"solid",3,12.9597833333333,"female",0,0,"['cloud', 'circle', 'square', 'blue', 'green']",2,1,213,"solid","211",2,"striped","striped","polka-dotted",0,3,"Yes",2,1,65,NA,"ENGLISH","Female"
"65",11,232,6350,0.157894736842105,0.842105263157895,"cloud",112,4,"square","polka-dotted",0,"circle","cloud",4,0.9,"321-2",0,112,122,"shape",0.15,4,0.8,232,232,"cloud",0,15.0295833333333,"female",0,0.5,"['solid', 'striped', 'polka-dotted', 'red']",2,1,122,"square","321",1,"circle","circle","square",0,3,"Yes",2,3,36,"I still don't quite understand the overlapping instructions on the pac man portion.  I've never seen instructions presented that way.  Thanks!","English","Male"
"66",11,222,14340,0.0952380952380952,0.857142857142857,"cloud",222,4,"square","red",0,"circle","cloud",3,0.9,"321-3",0,123,322,"shape",0.1,4,0.9,123,222,"cloud",1,15.0295833333333,"female",0.05,0.5,"['striped', 'red', 'green']",2,1,322,"square","321",1,"circle","circle","square",0.0476190476190476,3,"Yes",2,3,36,"I still don't quite understand the overlapping instructions on the pac man portion.  I've never seen instructions presented that way.  Thanks!","English","Male"
"67",11,223,22680,0.0909090909090909,0.818181818181818,"cloud",222,4,"square","green",0,"circle","cloud",4,0.9,"22a2b-2a",0,133,223,"shape",0.1,4,0.9,133,222,"cloud",2,15.0295833333333,"female",0.1,0.5,"['striped', 'polka-dotted', 'red', 'green']",2,1,223,"square","22a2b",1,"circle","circle","square",0.0909090909090909,3,"Yes",2,3,36,"I still don't quite understand the overlapping instructions on the pac man portion.  I've never seen instructions presented that way.  Thanks!","English","Male"
"68",11,233,29220,0,1,"cloud",223,4,"square","polka-dotted",0,"circle","cloud",3,0.9,"322b-2",0,233,223,"shape",0,4,1,333,333,"cloud",3,15.0295833333333,"female",0,0.5,"['striped', 'polka-dotted', 'green']",2,1,233,"square","322b",1,"circle","circle","square",0,3,"Yes",2,3,36,"I still don't quite understand the overlapping instructions on the pac man portion.  I've never seen instructions presented that way.  Thanks!","English","Male"
"69",11,111,11400,0.636363636363636,0.0909090909090909,"circle",111,4,"circle","blue",1,"circle","square",3,0.9,"321-3",0,211,111,"shape",0.7,4,0.1,313,313,"cloud",0,15.0295833333333,"female",0.3,1,"['solid', 'blue', 'green']",3,0.5,211,"square","321",1,"cloud","cloud","square",0.272727272727273,3,"Yes",2,3,36,"I still don't quite understand the overlapping instructions on the pac man portion.  I've never seen instructions presented that way.  Thanks!","English","Male"
"70",11,132,8150,0.727272727272727,0.136363636363636,"circle",132,4,"circle","red",1,"circle","square",2,0.9,"331-3",0,332,132,"shape",0.8,4,0.15,332,232,"cloud",1,15.0295833333333,"female",0.15,1,"['polka-dotted', 'red']",3,0.5,232,"square","331",1,"cloud","cloud","square",0.136363636363636,3,"Yes",2,3,36,"I still don't quite understand the overlapping instructions on the pac man portion.  I've never seen instructions presented that way.  Thanks!","English","Male"
